Data file:,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 4.sirslt\PD-007 - Q 4.dx
Sample name:,PD-007 - Q 4
Description:,
Sample amount:,0.000,Sample type:,Sample
Instrument:,1100LC,Location:,12
Injection date:,2019-08-26 11:21:59+01:00,Injection:,1 of 1
Acq. method:,PD - TEMPO Gradient.amx,Injection volume:,2.000
Analysis method:,*GC_LC Area Percent_DefaultMethod.pmx,Acq. operator:,SYSTEM
Last changed:,2019-06-19 10:57:01+01:00
Signal:,"VWD1A,Wavelength=210 nm"
RT [min],Type,Width [min],Area,Height,Area%,Name
1.528,BV  ,3.7314,56053.7556,2750.6057,97.1822,
5.057,VB  ,0.8647,761.6352,43.3707,1.3205,
7.078,BB  ,0.8295,863.6160,89.9067,1.4973,
,,Sum,57679.0068,,,

